address,lat,lng,level
南投縣竹山鎮硘磘里鯉南路116之79號4樓,23.746558,120.675643,門牌
南投縣竹山鎮集山路三段50巷1弄29號一樓,23.778348,120.704590,路名
南投縣竹山鎮雲林里大仁路26號（現場不得堆棧）,23.755131,120.676579,門牌
南投縣竹山鎮雲林里集山路三段1064號1樓,23.778348,120.704590,路名
南投縣草屯鎮上林里太平路一段123巷212號,23.967874,120.682136,路名
南投縣草屯鎮上林里太平路一段223巷11號,23.967874,120.682136,路名
南投縣草屯鎮上林里草溪路174號一樓,23.960273,120.673793,門牌
南投縣草屯鎮上林里草溪路569巷8弄5號,23.967912,120.676699,門牌
南投縣草屯鎮加老路178號,24.001021,120.659850,門牌
南投縣草屯鎮加老里加老南路266號1樓,23.998373,120.656294,門牌
南投縣草屯鎮加老里芬草路三段126號,23.993120,120.669882,路名
南投縣草屯鎮北勢里玉屏路102之6號1樓,23.992529,120.716588,門牌
南投縣草屯鎮北投里墩煌路一段168巷36號1樓,23.997282,120.665311,路名
南投縣草屯鎮南埔里中正路236-11號,23.952887,120.800530,路名
南投縣草屯鎮南埔里中正路344-128號,23.952887,120.800530,路名
南投縣草屯鎮南埔里中正路廍底巷29號2樓,23.980109,120.718268,門牌
南投縣草屯鎮南埔里富頂路一段505巷2號一樓,23.974938,120.702885,路名
南投縣草屯鎮博愛路336號,23.984872,120.688850,門牌
南投縣草屯鎮太平路一段223巷101之1號,23.967874,120.682136,路名
南投縣草屯鎮太平路一段351巷141號,23.967874,120.682136,路名
南投縣草屯鎮富寮里富中路319巷75號,23.971317,120.701550,門牌
南投縣草屯鎮富寮里富德街112巷5號1樓,23.978574,120.711719,路名
南投縣草屯鎮富寮里富春路70號1樓,23.980490,120.701970,門牌
南投縣草屯鎮富寮里富春路88號6樓之3,23.980712,120.702047,門牌
南投縣草屯鎮富寮里富林路一段169號2樓,23.972556,120.694492,路名
南投縣草屯鎮富寮里富頂路一段155巷8號,23.974938,120.702885,路名
南投縣草屯鎮富寮里富頂路一段295號1樓,23.974938,120.702885,路名
南投縣草屯鎮富寮里富頂路一段446號,23.974938,120.702885,路名
南投縣草屯鎮富寮里富頂路一段726巷101號,23.974938,120.702885,路名
南投縣草屯鎮富林路一段33巷32號1樓,23.972556,120.694492,路名
南投縣草屯鎮山腳里新生東路35巷35號,23.958920,120.683704,門牌
南投縣草屯鎮山腳里東閔路1361巷50號1樓,23.952939,120.678764,門牌
南投縣草屯鎮山腳里正義街57號1樓,23.966467,120.684972,門牌
南投縣草屯鎮山腳里民生一街46巷19號1樓,23.967466,120.683757,門牌
南投縣草屯鎮山腳里民生路106號,23.811041,120.855853,門牌
南投縣草屯鎮山腳里省府路201號,23.955363,120.676085,路名
南投縣草屯鎮山腳里虎山路332巷4號2樓之1,23.964659,120.686798,門牌
南投縣草屯鎮御史里中正路1130號,23.990368,120.688038,門牌
南投縣草屯鎮御史里御富路198號,23.988357,120.691737,門牌
南投縣草屯鎮御史里玉屏路149之1號,23.998382,120.714406,門牌
南投縣草屯鎮復興里復興路330號一樓,23.966762,120.668879,門牌
南投縣草屯鎮復興里復興路615-1號,23.940765,120.688402,路名
